Discogs ID,Title,Artists,Genres,Styles,Year,Tracklist,Notes
268442,Fabric 01,Craig Richards,Electronic,"Dub, Acid, Deep House, Minimal, Tech House",2001,"At That Café (4:38)
Pirate's Life (4:37)
The Realist (4:19)
Mitt I Stan (3:04)
Montage (4:52)
Cozmoport (3:58)
Cologne (3:33)
Sinners (5:33)
Nightlife (4:30)
Bluntski (4:57)
Version 5 (4:38)
Altes Testament (6:32)
Dave (2001 Mix) (5:41)
Took From Me (4:57)
Purple Edge (4:50)
Mispent Years (2:53)",
54453,Fabric 02,Terry Francis,Electronic,"Deep House, Minimal, Tech House",2002,"Welcome (Welcapella) (0:59)
East (2:54)
Morph Cross (5:48)
R Change U (5:04)
Doing Shows (3:22)
Frostreet (3:35)
Red Leather (3:50)
Ode To Mad Marj (3:21)
Oyea (4:19)
Ooh Yi Yi (5:30)
D & D Gold (4:53)
Night Life (Asad's Silverlining Remix) (5:14)
Dancin' (3:34)
Lemon Pie (Dub) (3:20)
Deeper (BlakDoktor Mix) (7:23)
My Love (6:46)",
516847,Fabric 03,Jon Marsh,Electronic,House,2002,"Blue Royal (5:24)
G String Underbeard (5:23)
Change For Me (Akabu Dub) (6:06)
Mochico 3.5 (DJ Evil P Remix) (3:17)
Feel Up (6:24)
Damynatrybe (4:45)
Elektrik Dreamers (Deep C & Randall Jones Remix) (6:35)
Only You (4:56)
1-800 Ming (Rui Da Silva Remix) (10:23)
Calling All Dancers (5:56)
Pink Yo Black (Live In SW15 Mix) (5:10)
Time To Yourself (2:32)
Jest 4 Me (BHQ Vocal Dub 2) (6:21)",
99245,Fabric 04,Tony Humphries,Electronic,"House, Garage House",2002,"Lovebirds ()
Tafina ()
Canopy ()
Play Back (Jazztronik Remix) ()
If You Fall ()
Drive On (Demon Ritchie's Mix) ()
Late Night ()
I Can't (You Know) ()
I Miss You (Air-Knee's Jazz To Face Mix) ()
How Does It Feel ? (U.C. Vocal Mix) ()
Believe ()
Sunshine Yellow ()
Kingsburg ()
Brisa (Atjazz Remix) ()",
1105642,Fabric 05,Pure Science,Electronic,Tech House,2002,"Time 2 Bump! (8:09)
United By House (5:20)
Can You Feel? (5:48)
Don't Hide (5:12)
I Want U...'Da Muzik' (6:21)
The Mind In Rhythm (Concentration Mix) (5:15)
Let's Go Back (Can't You Feel It?) (6:05)
Bompazee (Deal Me Da Rydim) (5:29)
Meez Philosophy (Feel It) (6:17)
It Is Innit? (5:22)
By The Pool ;) (5:40)
La Magica Del Sol (5:21)
Our Universe (Galaxy 1172 Outro) (3:39)",
133589,Fabric 06,Tyler Stadius,Electronic,"House, Deep House, Tech House",2002,"Legend Of The High Plains Drifter ()
Acid Soul ()
Look Behind Your Eyes ()
Release The Tension ()
Deep Architecture (Bass & Penn Remix) ()
Another Kind Of Dream ()
All The Swine ()
Allnight ()
Loud Kissin' (Asad Rizvi's Silverlining Smooch Mix) ()
Letting Go ()
Punch Up ()
King In My Empire ()",
389261,Fabric 07,Halo & Hipp-E,Electronic,"House, Tech House",2002,"Slow Swing ()
3 In Tha Mornin' (Swag's Version Dub) ()
Metroride (Ken & Sam's Racketride) ()
I'm Satisfied ()
Freakinought ()
Time (Doza's Lawnchair Generals Mix) ()
Chatter ()
Rugburns (Original Mix) ()
And I Know ()
Midnight (Original Mix) ()
Long Deep Decay ()
When I Fell In Love (Charles Webster Dub Mix) ()
Lakeshore Dr. ()
Body Flowers (Fluid System Mix) ()",
212216,Fabric 08,Radioactive Man,Electronic,"Breaks, Electro",2003,"Intro - The Funk: Discuss Further (1:17)
Visions (2 Lone Swordsmen Remix) (6:17)
Touch Me (Dub) (4:14)
Together In The Dark (3:52)
Honour (3:53)
In / Out (5:43)
Powercut (Rewired Remix) (5:09)
As We Do (5:06)
Die Macht (3:54)
Explode (4:43)
'ave That (5:28)
'ave That (Tim Wright Remix) (4:28)
Going Down (5:10)
Wake Up (Bolz Bol Electro World Remix) (5:34)
Rottenrow (3:38)
F**k Me On The Dance Floor (Accapella) (2:26)",
59967,Fabric 09,Slam,Electronic,"House, Techno, Tech House",2003,"Cannibals (3:59)
Style Dish (2:17)
Working Night (4:12)
Synchronicity (Spincycle Remix) (6:25)
Make Shape (16B Remix) (3:03)
Night Moves (4:58)
Infinity (3:36)
Seventeen (Slam Dub) (5:08)
Appendix D (3:18)
Soul (2:39)
Stolen (Selway Remix) (4:31)
D-Clash (Slam Mix) (4:31)
Contrast (1:26)
Serenity (3:00)
Steel (Marco Carola Remix) (4:44)
Riddles (Tom Hades Remix) (3:22)
Can't Stop (0:32)
Sonic Tools (3:06)
Inspiration (6:39)",
440256,Fabric 10,Doc Martin,Electronic,"Progressive House, House",2003,"Musical Prayer (1:56)
Boots And Pants (6:14)
On The Bridge (Larry Heard's After Dark Club Mix) (7:55)
Renix (5:17)
Second Wind (4:45)
The Shuttle (2:18)
""AU"" (3:20)
Ding Bling (Haris Electric Mix) (5:08)
I Think Of You (4:35)
Stucco Homes (Return Of The Ghost Mix) (5:02)
Just Us (4:36)
Highlights (4:05)
Bonus Beats (3:19)
If You Need Me (Blakkat's Street Party Mix) (6:39)
Son Of Stitt (3:48)",
